predSero,A,B,C
2,0.369160081,0.142800538,0.488039381
2,0.234621279,0.090993045,0.674385676
2,0.234621279,0.090993045,0.674385676
2,0.234621279,0.090993045,0.674385676
2,0.234621279,0.090993045,0.674385676
2,0.234621279,0.090993045,0.674385676
2,0.277447597,0.152683994,0.569868409
2,0.160287931,0.113523619,0.72618845
2,0.234621279,0.090993045,0.674385676
1,0.291246421,0.664818438,0.043935141
1,0.411370579,0.511034255,0.077595167
1,0.411259864,0.511571964,0.077168171
0,0.551125308,0.322924177,0.125950515
0,0.527684884,0.364780296,0.10753482
0,0.556918964,0.267785214,0.175295822
0,0.779612299,0.046004036,0.174383664
0,0.779822424,0.045916378,0.174261198
1,0.411133376,0.511285925,0.077580699
1,0.411133376,0.511285925,0.077580699
1,0.411133376,0.511285925,0.077580699
1,0.411133376,0.511285925,0.077580699
1,0.411133376,0.511285925,0.077580699
1,0.411133376,0.511285925,0.077580699
0,0.552131744,0.327629967,0.12023829
0,0.552131744,0.327629967,0.12023829
0,0.552131744,0.327629967,0.12023829
0,0.552131744,0.327629967,0.12023829
0,0.552131744,0.327629967,0.12023829
0,0.552131744,0.327629967,0.12023829
0,0.552131744,0.327629967,0.12023829
0,0.552131744,0.327629967,0.12023829
0,0.552131744,0.327629967,0.12023829
0,0.552131744,0.327629967,0.12023829
0,0.552131744,0.327629967,0.12023829
0,0.779612299,0.046004036,0.174383664
0,0.779612299,0.046004036,0.174383664
0,0.779612299,0.046004036,0.174383664
0,0.779612299,0.046004036,0.174383664
0,0.779822424,0.045916378,0.174261198
2,0.234621279,0.090993045,0.674385676
2,0.234621279,0.090993045,0.674385676
2,0.234621279,0.090993045,0.674385676
2,0.234621279,0.090993045,0.674385676
2,0.369160081,0.142800538,0.488039381
2,0.369160081,0.142800538,0.488039381
2,0.234621279,0.090993045,0.674385676
2,0.234621279,0.090993045,0.674385676
0,0.779822424,0.045916378,0.174261198
1,0.065402714,0.899543026,0.03505426
1,0.12378957,0.775075886,0.101134544
2,0.137757079,0.301434646,0.560808275
0,0.561981475,0.255347126,0.182671399
0,0.561981475,0.255347126,0.182671399
2,0.137757079,0.301434646,0.560808275
2,0.137757079,0.301434646,0.560808275
2,0.137757079,0.301434646,0.560808275
1,0.293176545,0.447217372,0.259606083
2,0.137757079,0.301434646,0.560808275
2,0.137757079,0.301434646,0.560808275
2,0.137757079,0.301434646,0.560808275
2,0.137757079,0.301434646,0.560808275
2,0.137757079,0.301434646,0.560808275
2,0.137757079,0.301434646,0.560808275
2,0.137757079,0.301434646,0.560808275
2,0.137757079,0.301434646,0.560808275
2,0.137757079,0.301434646,0.560808275
2,0.137757079,0.301434646,0.560808275
2,0.137757079,0.301434646,0.560808275
2,0.369160081,0.142800538,0.488039381
1,0.411133376,0.511285925,0.077580699
1,0.291246421,0.664818438,0.043935141
1,0.291246421,0.664818438,0.043935141
0,0.779612299,0.046004036,0.174383664
1,0.411133376,0.511285925,0.077580699
2,0.382025888,0.222581891,0.395392221
2,0.382025888,0.222581891,0.395392221
1,0.251834514,0.686723248,0.061442237
1,0.249642503,0.684806112,0.065551386
2,0.382025888,0.222581891,0.395392221
2,0.382025888,0.222581891,0.395392221
2,0.382025888,0.222581891,0.395392221
0,0.543708197,0.252721753,0.20357005
2,0.367599597,0.217105369,0.415295034
2,0.234621279,0.090993045,0.674385676
0,0.779612299,0.046004036,0.174383664
0,0.779612299,0.046004036,0.174383664
0,0.779612299,0.046004036,0.174383664
0,0.779589902,0.04601034,0.174399757
0,0.780092073,0.046311861,0.173596066
0,0.780092073,0.046311861,0.173596066
0,0.779612299,0.046004036,0.174383664
0,0.779612299,0.046004036,0.174383664
0,0.779612299,0.046004036,0.174383664
0,0.779612299,0.046004036,0.174383664
0,0.776602065,0.046853186,0.176544749
0,0.779612299,0.046004036,0.174383664
0,0.776602065,0.046853186,0.176544749
0,0.776602065,0.046853186,0.176544749
0,0.776602065,0.046853186,0.176544749
0,0.776602065,0.046853186,0.176544749
0,0.776602065,0.046853186,0.176544749
0,0.779612299,0.046004036,0.174383664
0,0.779612299,0.046004036,0.174383664
0,0.780092073,0.046311861,0.173596066
0,0.780092073,0.046311861,0.173596066
0,0.780092073,0.046311861,0.173596066
0,0.780092073,0.046311861,0.173596066
0,0.776602065,0.046853186,0.176544749
0,0.779612299,0.046004036,0.174383664
0,0.779639135,0.0459469,0.174413965
